,index,exp,tay,T1,T2,time,prog_time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1,100.0,10.0,130.0,120.0,600.0,15685.1,211.0,220.0,228.0,237.0,240.0,191.0,230.0,238.0,202.0,193.0,182.0,176.0,156.0,160.0,135.0,126.0,98.0,80.0,64.0,44.0,60.0,60.0,39.0,25.0,24.0,13.0,15.0,11.0,7.0,6.0,5.0,4.0,5.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,100.0,30.0,130.0,120.0,600.0,17733.9,235.0,226.0,219.0,232.0,239.0,218.0,205.0,215.0,198.0,196.0,163.0,178.0,159.0,144.0,116.0,112.0,108.0,96.0,70.0,59.0,64.0,48.0,35.0,26.0,32.0,11.0,21.0,17.0,12.0,6.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,100.0,300.0,130.0,120.0,600.0,43168.6,258.0,219.0,219.0,233.0,208.0,204.0,196.0,205.0,199.0,157.0,161.0,131.0,132.0,134.0,127.0,110.0,87.0,89.0,75.0,60.0,59.0,46.0,40.0,34.0,34.0,24.0,25.0,25.0,16.0,11.0,13.0,6.0,4.0,6.0,2.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,100.0,1000.0,130.0,120.0,600.0,76803.4,311.0,247.0,245.0,262.0,213.0,232.0,192.0,188.0,173.0,159.0,138.0,143.0,134.0,125.0,102.0,95.0,104.0,94.0,67.0,59.0,56.0,51.0,46.0,46.0,23.0,28.0,18.0,16.0,19.0,16.0,11.0,9.0,9.0,6.0,3.0,10.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,100.0,10.0,130.0,80.0,600.0,1389.44,172.0,350.0,351.0,367.0,309.0,309.0,317.0,280.0,297.0,213.0,192.0,187.0,164.0,145.0,127.0,115.0,74.0,74.0,68.0,41.0,41.0,23.0,20.0,16.0,8.0,9.0,14.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,100.0,30.0,130.0,80.0,600.0,1825.47,145.0,310.0,326.0,361.0,293.0,295.0,289.0,229.0,249.0,232.0,225.0,168.0,169.0,160.0,124.0,113.0,92.0,84.0,57.0,47.0,35.0,38.0,27.0,13.0,11.0,10.0,9.0,10.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,100.0,300.0,130.0,80.0,600.0,7417.13,127.0,216.0,263.0,258.0,280.0,273.0,235.0,256.0,230.0,209.0,194.0,193.0,165.0,144.0,123.0,104.0,104.0,80.0,65.0,63.0,57.0,46.0,22.0,22.0,15.0,18.0,11.0,6.0,5.0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,100.0,1000.0,130.0,80.0,600.0,21712.1,136.0,197.0,191.0,203.0,179.0,222.0,224.0,217.0,199.0,195.0,184.0,171.0,168.0,123.0,142.0,100.0,96.0,85.0,84.0,54.0,62.0,41.0,44.0,50.0,25.0,19.0,19.0,12.0,11.0,6.0,5.0,7.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
